word,decision,source,page,note,hint,sort_order
доиста,approved,pdf_medium_approved,286,approved from medium possible additions,,
доксат,approved,pdf_medium_approved,288,approved from medium possible additions,,
долине,approved,pdf_high_confidence,495,,,
долнар,approved,pdf_high_confidence,289,,,
домали,approved,pdf_high_confidence,290,,,
домаћи,approved,pdf_medium_approved,290,approved from medium possible additions,,
домити,approved,pdf_high_confidence,292,,,
донети,approved,pdf_medium_approved,293,approved from medium possible additions,,
дорски,approved,pdf_high_confidence,295,,,
доспео,approved,pdf_high_confidence,297,,,
дошљак,approved,pdf_high_confidence,302,,,
драгон,approved,pdf_high_confidence,303,,,
драгуљ,approved,pdf_high_confidence,303,,,
драгун,approved,pdf_high_confidence,303,,,
дракон,approved,pdf_high_confidence,303,,,
дралон,approved,pdf_high_confidence,304,,,
драмат,approved,pdf_high_confidence,304,,,
драчав,approved,pdf_high_confidence,304,,,
драчев,approved,pdf_high_confidence,304,,,
древан,approved,pdf_high_confidence,306,,,
дренић,approved,pdf_high_confidence,307,,,
дренов,approved,pdf_high_confidence,307,,,
дрењах,approved,pdf_high_confidence,307,,,
дречав,approved,pdf_high_confidence,307,,,
држати,approved,pdf_medium_approved,1420,approved from medium possible additions,,
дрипац,approved,pdf_high_confidence,309,,,
дркати,approved,pdf_high_confidence,309,,,
дрљало,approved,pdf_medium_approved,309,approved from medium possible additions,,
дрљити,approved,pdf_medium_approved,309,approved from medium possible additions,,
дрмати,approved,pdf_high_confidence,309,,,
дрндав,approved,pdf_high_confidence,310,,,
дрндар,approved,pdf_medium_approved,310,approved from medium possible additions,,
дробан,approved,pdf_high_confidence,310,,,
дробиш,approved,pdf_high_confidence,310,,,
дрозак,approved,pdf_high_confidence,310,,,
дроњав,approved,pdf_high_confidence,311,,,
дроњак,approved,pdf_high_confidence,311,,,
дроњар,approved,pdf_high_confidence,311,,,
другар,approved,pdf_high_confidence,311,,,
дружић,approved,pdf_high_confidence,312,,,
друмар,approved,pdf_high_confidence,312,,,
дрхтав,approved,pdf_high_confidence,313,,,
дрхтур,approved,pdf_high_confidence,313,,,
дршчић,approved,pdf_high_confidence,313,,,
дубити,approved,pdf_high_confidence,314,,,
дублер,approved,pdf_high_confidence,314,,,
дублет,approved,pdf_high_confidence,314,,,
дудаст,approved,pdf_high_confidence,317,,,
дудињи,approved,pdf_high_confidence,317,,,
дужати,approved,pdf_high_confidence,317,,,
дуљати,approved,pdf_high_confidence,318,,,
дунути,approved,pdf_high_confidence,318,,,
дупљар,approved,pdf_high_confidence,318,,,
дурбин,approved,pdf_high_confidence,319,,,
дурити,approved,pdf_medium_approved,319,approved from medium possible additions,,
дурљив,approved,pdf_high_confidence,319,,,
дурски,approved,pdf_high_confidence,319,,,
душњак,approved,pdf_high_confidence,321,,,
ђаурка,approved,pdf_medium_approved,323,approved from medium possible additions,,
ђаурче,approved,pdf_high_confidence,323,,,
ђердан,approved,pdf_high_confidence,323,,,
ђешђир,approved,pdf_high_confidence,323,,,
ђикати,approved,pdf_high_confidence,323,,,
ђипити,approved,pdf_high_confidence,323,,,
ђонити,approved,pdf_high_confidence,323,,,
ђорати,approved,pdf_high_confidence,323,,,
ђувече,approved,pdf_high_confidence,324,,,
ђумбир,approved,pdf_high_confidence,324,,,
ђурђиц,approved,pdf_high_confidence,324,,,
ебанов,approved,pdf_high_confidence,325,,,
егоист,approved,pdf_medium_approved,328,approved from medium possible additions,,
екавац,approved,pdf_high_confidence,329,,,
екипаж,approved,pdf_high_confidence,330,,,
елисни,approved,pdf_high_confidence,338,,,
елитан,approved,pdf_high_confidence,338,,,
ембрио,approved,pdf_high_confidence,338,,,
емират,approved,pdf_high_confidence,339,,,
емисар,approved,pdf_high_confidence,339,,,
емпора,approved,pdf_medium_approved,339,approved from medium possible additions,,
емфаза,approved,pdf_medium_approved,340,approved from medium possible additions,,
еолски,approved,pdf_high_confidence,342,,,
епигон,approved,pdf_high_confidence,342,,,
епител,approved,pdf_medium_approved,343,approved from medium possible additions,,
епифит,approved,pdf_high_confidence,343,,,
епичан,approved,pdf_high_confidence,343,,,
еридин,approved,pdf_medium_approved,344,approved from medium possible additions,,
еритем,approved,pdf_high_confidence,344,,,
ерудит,approved,pdf_high_confidence,344,,,
естуар,approved,pdf_high_confidence,346,,,
етажер,approved,pdf_high_confidence,346,,,
етажни,approved,pdf_high_confidence,346,,,
еталон,approved,pdf_high_confidence,346,,,
етерни,approved,pdf_medium_approved,346,approved from medium possible additions,,
етидни,approved,pdf_high_confidence,347,,,
етилни,approved,pdf_high_confidence,347,,,
етимбн,approved,pdf_high_confidence,347,,,
етичан,approved,pdf_high_confidence,347,,,
етички,approved,pdf_high_confidence,347,,,
етолог,approved,pdf_medium_approved,348,approved from medium possible additions,,
ехолот,approved,pdf_medium_approved,349,approved from medium possible additions,,
жалбен,approved,pdf_high_confidence,350,,,
жалити,approved,pdf_high_confidence,350,,,
жалост,approved,pdf_high_confidence,351,,,
жандар,approved,pdf_high_confidence,351,,,
жаргон,approved,pdf_high_confidence,352,,,
жарећи,approved,pdf_high_confidence,352,,,
жацати,approved,pdf_high_confidence,352,,,
жбунић,approved,pdf_high_confidence,352,,,
жвалав,approved,pdf_high_confidence,352,,,
жврљав,approved,pdf_high_confidence,353,,,
жганци,approved,pdf_high_confidence,353,,,
жгебав,approved,pdf_high_confidence,353,,,
жгољав,approved,pdf_high_confidence,353,,,
ждерав,approved,pdf_high_confidence,353,,,
жедник,approved,pdf_high_confidence,353,,,
желети,approved,pdf_medium_approved,354,approved from medium possible additions,,
женско,approved,pdf_high_confidence,354,,,
жерава,approved,pdf_medium_approved,355,approved from medium possible additions,,
жесток,approved,pdf_high_confidence,355,,,
живети,approved,pdf_medium_approved,131,approved from medium possible additions,,
живост,approved,pdf_high_confidence,356,,,
живцат,approved,pdf_high_confidence,357,,,
жигица,approved,pdf_medium_approved,357,approved from medium possible additions,,
жиголо,approved,pdf_high_confidence,357,,,
