word,decision,source,page,confidence,status,reason,hint,sort_order
етерни,approved,pdf_candidate,346,medium,needs_review,lowercase-entry|previous-line-closed,,
етолог,approved,pdf_candidate,348,medium,needs_review,lowercase-entry|previous-line-closed,,
ехолот,approved,pdf_candidate,349,medium,needs_review,lowercase-entry|previous-line-closed,,
желети,approved,pdf_candidate,354,medium,needs_review,lowercase-entry|previous-line-closed,,
жерава,approved,pdf_candidate,355,medium,needs_review,lowercase-entry|previous-line-closed,,
живети,approved,pdf_candidate,131,medium,needs_review,lowercase-entry|previous-line-closed,,
жигица,approved,pdf_candidate,357,medium,needs_review,lowercase-entry|previous-line-closed,,
жидина,deferred,pdf_candidate,357,medium,needs_review,lowercase-entry|previous-line-closed,,
житара,deferred,pdf_candidate,358,medium,needs_review,lowercase-entry|previous-line-closed,,
жлезде,deferred,pdf_candidate,340,medium,needs_review,lowercase-entry|previous-line-closed,,
жличар,approved,pdf_candidate,359,medium,needs_review,lowercase-entry|previous-line-closed,,
жмарци,approved,pdf_candidate,359,medium,needs_review,lowercase-entry|previous-line-closed,,
жмурка,approved,pdf_candidate,360,medium,needs_review,lowercase-entry|previous-line-closed,,
жоржет,approved,pdf_candidate,360,medium,needs_review,lowercase-entry|previous-line-closed,,
жудети,approved,pdf_candidate,360,medium,needs_review,lowercase-entry|previous-line-closed,,
жутети,approved,pdf_candidate,361,medium,needs_review,lowercase-entry|previous-line-closed,,
заквач,approved,pdf_candidate,380,medium,needs_review,lowercase-entry|previous-line-closed,,
закона,approved,pdf_candidate,849,medium,needs_review,lowercase-entry|previous-line-closed,,
закрет,approved,pdf_candidate,382,medium,needs_review,lowercase-entry|previous-line-closed,,
залиха,approved,pdf_candidate,385,medium,needs_review,lowercase-entry|previous-line-closed,,
замаћи,approved,pdf_candidate,386,medium,needs_review,lowercase-entry|previous-line-closed,,
замера,approved,pdf_candidate,387,medium,needs_review,lowercase-entry|previous-line-closed,,
замрћи,approved,pdf_candidate,388,medium,needs_review,lowercase-entry|previous-line-closed,,
занети,approved,pdf_candidate,389,medium,needs_review,lowercase-entry|previous-line-closed,,
зането,approved,pdf_candidate,389,medium,needs_review,lowercase-entry|previous-line-closed,,
заовић,approved,pdf_candidate,390,medium,needs_review,lowercase-entry|previous-line-closed,,
засека,approved,pdf_candidate,400,medium,needs_review,lowercase-entry|previous-line-closed,,
затећи,approved,pdf_candidate,404,medium,needs_review,lowercase-entry|previous-line-closed,,
затрка,approved,pdf_candidate,406,medium,needs_review,lowercase-entry|previous-line-closed,,
затрти,approved,pdf_candidate,406,medium,needs_review,lowercase-entry|previous-line-closed,,
заумље,approved,pdf_candidate,407,medium,needs_review,lowercase-entry|previous-line-closed,,
зашрши,approved,pdf_candidate,468,medium,needs_review,lowercase-entry|previous-line-closed,,
збирка,approved,pdf_candidate,411,medium,needs_review,lowercase-entry|previous-line-closed,,
зверка,approved,pdf_candidate,413,medium,needs_review,lowercase-entry|previous-line-closed,,
звонко,approved,pdf_candidate,414,medium,needs_review,lowercase-entry|previous-line-closed,,
згорег,deferred,pdf_candidate,415,medium,needs_review,lowercase-entry|previous-line-closed,,
зекуља,approved,pdf_candidate,418,medium,needs_review,lowercase-entry|previous-line-closed,,
зелено,deferred,pdf_candidate,419,medium,needs_review,lowercase-entry|previous-line-closed,,
земљен,deferred,pdf_candidate,419,medium,needs_review,lowercase-entry|previous-line-closed,,
земљин,deferred,pdf_candidate,419,medium,needs_review,inflection-after-comma|previous-line-closed|ocr-noise-near-entry,,
зечица,approved,pdf_candidate,420,medium,needs_review,lowercase-entry|previous-line-closed,,
зукара,approved,pdf_candidate,428,medium,needs_review,lowercase-entry|previous-line-closed,,
зукати,approved,pdf_candidate,428,medium,needs_review,lowercase-entry|previous-line-closed,,
зумбул,approved,pdf_candidate,428,medium,needs_review,lowercase-entry|previous-line-closed,,
играти,approved,pdf_candidate,1416,medium,needs_review,lowercase-entry|previous-line-closed,,
избори,deferred,pdf_candidate,434,medium,needs_review,lowercase-entry|previous-line-closed,,
извана,deferred,pdf_candidate,435,medium,needs_review,lowercase-entry|previous-line-closed,,
извући,approved,pdf_candidate,438,medium,needs_review,lowercase-entry|previous-line-closed,,
издати,approved,pdf_candidate,441,medium,needs_review,lowercase-entry|previous-line-closed,,
издићи,approved,pdf_candidate,441,medium,needs_review,lowercase-entry|previous-line-closed,,
изести,approved,pdf_candidate,442,medium,needs_review,lowercase-entry|previous-line-closed,,
измити,approved,pdf_candidate,446,medium,needs_review,lowercase-entry|previous-line-closed,,
изнети,approved,pdf_candidate,448,medium,needs_review,lowercase-entry|previous-line-closed,,
изнићи,approved,pdf_candidate,448,medium,needs_review,lowercase-entry|previous-line-closed,,
изнова,approved,pdf_candidate,1010,medium,needs_review,lowercase-entry|previous-line-closed,,
изрећи,approved,pdf_candidate,451,medium,needs_review,lowercase-entry|previous-line-closed,,
иосшао,deferred,pdf_candidate,991,medium,needs_review,lowercase-entry|previous-line-closed,,
ириказ,deferred,pdf_candidate,1411,medium,needs_review,lowercase-entry|previous-line-closed,,
испрва,approved,pdf_candidate,474,medium,needs_review,lowercase-entry|previous-line-closed,,
истаћи,approved,pdf_candidate,477,medium,needs_review,lowercase-entry|previous-line-closed,,
истући,approved,pdf_candidate,480,medium,needs_review,lowercase-entry|previous-line-closed,,
кавана,approved,pdf_candidate,501,medium,needs_review,lowercase-entry|previous-line-closed,,
калцан,approved,pdf_candidate,505,medium,needs_review,lowercase-entry|previous-line-closed,,
камфор,approved,pdf_candidate,507,medium,needs_review,lowercase-entry|previous-line-closed,,
канити,approved,pdf_candidate,507,medium,needs_review,lowercase-entry|previous-line-closed,,
каруце,approved,pdf_candidate,513,medium,needs_review,lowercase-entry|previous-line-closed,,
каснно,deferred,pdf_candidate,513,medium,needs_review,lowercase-entry|previous-line-closed,,
каћуша,approved,pdf_candidate,515,medium,needs_review,lowercase-entry|previous-line-closed,,
керећи,approved,pdf_candidate,519,medium,needs_review,lowercase-entry|previous-line-closed,,
керећн,deferred,pdf_candidate,519,medium,needs_review,lowercase-entry|previous-line-closed,,
керуша,approved,pdf_candidate,519,medium,needs_review,lowercase-entry|previous-line-closed,,
кесити,approved,pdf_candidate,519,medium,needs_review,lowercase-entry|previous-line-closed,,
китара,approved,pdf_candidate,522,medium,needs_review,lowercase-entry|previous-line-closed,,
кихати,approved,pdf_candidate,523,medium,needs_review,lowercase-entry|previous-line-closed,,
клерик,approved,pdf_candidate,526,medium,needs_review,lowercase-entry|previous-line-closed,,
клиско,approved,pdf_candidate,529,medium,needs_review,lowercase-entry|previous-line-closed,,
ковати,approved,pdf_candidate,535,medium,needs_review,lowercase-entry|previous-line-closed,,
коверт,approved,pdf_candidate,535,medium,needs_review,lowercase-entry|previous-line-closed,,
ковина,approved,pdf_candidate,535,medium,needs_review,lowercase-entry|previous-line-closed,,
коврча,approved,pdf_candidate,535,medium,needs_review,lowercase-entry|previous-line-closed,,
коитус,deferred,pdf_candidate,537,medium,needs_review,lowercase-entry|previous-line-closed,,
колера,approved,pdf_candidate,540,medium,needs_review,lowercase-entry|previous-line-closed,,
колето,approved,pdf_candidate,540,medium,needs_review,lowercase-entry|previous-line-closed,,
колики,deferred,pdf_candidate,540,medium,needs_review,lowercase-entry|previous-line-closed,,
колико,deferred,pdf_candidate,980,medium,needs_review,lowercase-entry|previous-line-closed,,
комика,approved,pdf_candidate,544,medium,needs_review,lowercase-entry|previous-line-closed,,
комода,approved,pdf_candidate,461,medium,needs_review,lowercase-entry|previous-line-closed,,
комуша,approved,pdf_candidate,547,medium,needs_review,lowercase-entry|previous-line-closed,,
кондак,approved,pdf_candidate,548,medium,needs_review,lowercase-entry|previous-line-closed,,
коруба,approved,pdf_candidate,560,medium,needs_review,lowercase-entry|previous-line-closed,,
космос,approved,pdf_candidate,561,medium,needs_review,lowercase-entry|previous-line-closed,,
косник,approved,pdf_candidate,561,medium,needs_review,inflection-after-comma|previous-line-closed|ocr-noise-near-entry,,
кочина,approved,pdf_candidate,565,medium,needs_review,lowercase-entry|previous-line-closed,,
